ticker,expected_active,download_status,last_error
NDEKF,True,success,
NDRBF,True,success,
NEMCL,True,success,
NETTF,True,success,
NEXHY,True,success,
NEXOF,True,success,
NFPDF,True,success,
NGGTF,True,success,
NGKIF,True,success,
NGKSF,True,success,
NGKSY,True,success,
NGSCF,True,success,
NHFOF,True,success,
NHKGF,True,success,
NHMAF,True,success,
NHMBF,True,success,
NHNKF,True,success,
NHOLF,True,success,
NHPCF,True,success,
NHYKF,True,success,
NIABY,True,success,
NICFF,True,success,
NIFCY,True,success,
NIJPF,True,success,
NINOF,True,success,
NIOIF,True,success,
NIPKF,True,success,
NIPNF,True,success,
NIPOF,True,success,
NISTF,True,success,
NISUF,True,success,
NISUY,True,success,
NKNSF,True,success,
NKOKF,True,success,
NMEHF,True,success,
NMRSF,True,success,
NMUCF,True,success,
NNCHF,True,success,
NNCHY,True,success,
NNFSF,True,success,
NNKEF,True,success,
NNRDF,True,success,
NOFCF,True,success,
NPCPF,True,success,
NPEGF,True,success,
NPEHF,True,success,
NPKYF,True,success,
NPKYY,True,success,
NPNGY,True,success,
NPNKF,True,success,
NPONF,True,success,
NPPEY,True,success,
NPPHY,True,success,
NPPNY,True,success,
NPPXF,True,success,
NPRKF,True,success,
NPRRF,True,success,
NPSKF,True,success,
NPSKY,True,success,
NPTLF,True,success,
NPTVF,True,success,
NPXYY,True,success,
NRSCF,True,success,
NSFMF,True,success,
NSHBY,True,success,
NSHKF,True,success,
NSKFF,True,success,
NSNHF,True,success,
NSOMF,True,success,
NSRGF,True,success,
NSUKF,True,success,
NTDOF,True,success,
NTTAF,True,success,
NTTBF,True,success,
NTULF,True,success,
NURAF,True,success,
NVSEF,True,success,
NWWCF,True,success,
NXAGF,True,success,
NYUKF,True,success,
OBIBF,True,success,
OBIIF,True,success,
OCLCF,True,success,
OCPNF,True,success,
ODERF,True,success,
ODMUF,True,success,
OJIPF,True,success,
OJIPY,True,success,
OKAMF,True,success,
OKCTF,True,success,
OKIEF,True,success,
OKIEY,True,success,
OKUMF,True,success,
OLCLF,True,success,
OMRNF,True,success,
OPHLF,True,success,
OPMXF,True,success,
OPPPF,True,success,
ORGJF,True,success,
ORKLF,True,success,
ORLNY,True,success,
ORXJF,True,success,
OSGCF,True,success,
OSGSF,True,success,
OSGSY,True,success,
OSOPF,True,success,
OSTTF,True,success,
OSUKF,True,success,
OTPBF,True,success,
OTPGF,True,success,
PAEKY,True,success,
PAKTY,True,success,
PBATF,True,success,
PBCRF,True,success,
PBIIF,True,success,
PBLOF,True,success,
PBNNF,True,success,
PCCYF,True,success,
PCHUY,True,success,
PETFF,True,success,
PGCMF,True,success,
PGCPF,True,success,
PGENY,True,success,
PHBBF,True,success,
PHCCF,True,success,
PHJMF,True,success,
PHPMF,True,success,
PIAIF,True,success,
PICJF,True,success,
PIFFY,True,success,
PIFMF,True,success,
PIGEF,True,success,
PINXF,True,success,
PINXY,True,success,
PITPF,True,success,
PITPY,True,success,
PKBAF,True,success,
PKCOF,True,success,
PKCOY,True,success,
PKCPY,True,success,
PMDKY,True,success,
PNDFF,True,success,
PNDZF,True,success,
PNOCF,True,success,
POGHF,True,success,
PORBF,True,success,
PPCCY,True,success,
PPERF,True,success,
PPKRF,True,success,
PPLFF,True,success,
PPOKF,True,success,
PRGLY,True,success,
PROSF,True,success,
PSBAF,True,success,
PSBKF,True,success,
PSKOF,True,success,
PSSMF,True,success,
PSTVY,True,success,
PTABF,True,success,
PTAIF,True,success,
PTGCF,True,success,
PTJSY,True,success,
PTKFF,True,success,
PTKFY,True,success,
PTPKF,True,success,
PTTMF,True,success,
PUODY,True,success,
PUTKF,True,success,
PUTRY,True,success,
PWZYF,True,success,
PYOIF,True,success,
PYYIF,True,success,
PZAKY,True,success,
QNDPF,True,success,
QUCOF,True,success,
RBLAF,True,success,
RBLAY,True,success,
RBSPF,True,success,
RCRRF,True,success,
REGMF,True,success,
RELOF,True,success,
RGEDF,True,success,
RGPCF,True,success,
RHHBF,True,success,
RICOF,True,success,
RICOY,True,success,
RINIF,True,success,
RKUNF,True,success,
RKUSF,True,success,
RLDCF,True,success,
RNDOF,True,success,
ROHCF,True,success,
RPHCF,True,success,
RSNHF,True,success,
RSTCF,True,success,
RTNTF,True,success,
RTPPF,True,success,
RYGYF,True,success,
RYKKF,True,success,
RZNXF,True,success,
SAGXF,True,success,
SALRF,True,success,
SANJF,True,success,
SAOGF,True,success,
SASOF,True,success,
SATLF,True,success,
SBCLY,True,success,
SBDHF,True,success,
SBHMY,True,success,
SBKFF,True,success,
SBKLF,True,success,
SBRKF,True,success,
SBYSF,True,success,
SCABY,True,success,
SCBFF,True,success,
SCTBF,True,success,
SCTBY,True,success,
SCVPY,True,success,
SCVUF,True,success,
SDGCF,True,success,
SEBNF,True,success,
SEIBF,True,success,
SEOTF,True,success,
SERNF,True,success,
SETUF,True,success,
SFGIF,True,success,
SFGRF,True,success,
SFOSF,True,success,
SFTTF,True,success,
SGAMF,True,success,
SGHDY,True,success,
SGHHF,True,success,
SGIOF,True,success,
SGIPF,True,success,
SGLOF,True,success,
SGSUF,True,success,
SHAOF,True,success,
SHCAF,True,success,
SHHGF,True,success,
SHHPF,True,success,
SHKLF,True,success,
SHMDF,True,success,
SHMUF,True,success,
SHMUY,True,success,
SHMWF,True,success,
SHMXY,True,success,
SHMZF,True,success,
SHPMY,True,success,
SHWDF,True,success,
SIELF,True,success,
SIELY,True,success,
SKCBY,True,success,
SKHSF,True,success,
SKKAF,True,success,
SKLYF,True,success,
SKPJF,True,success,
SKPJY,True,success,
SKSBF,True,success,
SKSDF,True,success,
SKSUF,True,success,
SKSUY,True,success,
SKUEF,True,success,
SKURF,True,success,
SKXJF,True,success,
SMAWF,True,success,
SMECF,True,success,
SMFNF,True,success,
SMFRF,True,success,
SMGBF,True,success,
SMNUF,True,success,
SMSSY,True,success,
SMSZF,True,success,
SMTUF,True,success,
SNAAF,True,success,
SNBIF,True,success,
SNCPF,True,success,
SNGNF,True,success,
SNKCF,True,success,
SNLAF,True,success,
SNLAY,True,success,
SNPHF,True,success,
SNPHY,True,success,
SNPMF,True,success,
SNPTF,True,success,
SNROF,True,success,
SNSNF,True,success,
SNTMF,True,success,
SNWAF,True,success,
SNYNF,True,success,
SOCNF,True,success,
SOHGF,True,success,
SOHGY,True,success,
SOHVF,True,success,
SOHVY,True,success,
SOMLF,True,success,
SOMMF,True,success,
SOMMY,True,success,
SOOBF,True,success,
SPHXF,True,success,
SQNNY,True,success,
SQNXF,True,success,
SREDY,True,success,
SRGBF,True,success,
SRGHY,True,success,
SSAAF,True,success,
SSAAY,True,success,
SSMXF,True,success,
SSNLF,True,success,
STAEF,True,success,
STAEY,True,success,
STBFF,True,success,
STMNF,True,success,
STOHF,True,success,
SUGBY,True,success,
SUHJF,True,success,
SURDF,True,success,
SVCBF,True,success,
SVKEF,True,success,
SVNBY,True,success,
SVNDF,True,success,
SVNLF,True,success,
SVTMF,True,success,
SWDBF,True,success,
SWGHF,True,success,
SWOBY,True,success,
SWPFF,True,success,
SWRAF,True,success,
SWRBY,True,success,
SZHFF,True,success,
SZHFY,True,success,
SZKMF,True,success,
SZUKF,True,success,
TAKMF,True,success,
TAPGF,True,success,
TAYIF,True,success,
TBABF,True,success,
TBABY,True,success,
TBNGY,True,success,
TBURF,True,success,
TBVPF,True,success,
TBVPY,True,success,
TCMEF,True,success,
TCNRF,True,success,
TCPFF,True,success,
TCTZF,True,success,
TDBOF,True,success,
TDBOY,True,success,
TDHOF,True,success,
TELNF,True,success,
TEPCF,True,success,
TEPCY,True,success,
TGOSF,True,success,
TGOSY,True,success,
TGVSF,True,success,
TGVSY,True,success,
THDDY,True,success,
THKLF,True,success,
THKLY,True,success,
THOGF,True,success,
THOPF,True,success,
THYCF,True,success,
THYCY,True,success,
TINLF,True,success,
TINLY,True,success,
TISCF,True,success,
TISCY,True,success,
TISNF,True,success,
TKCBF,True,success,
TKCBY,True,success,
TKCCF,True,success,
TKCOF,True,success,
TKECF,True,success,
TKFOY,True,success,
TKGBF,True,success,
TKGSF,True,success,
TKGSY,True,success,
TKHCF,True,success,
TKHIF,True,success,
TKINF,True,success,
TKKYY,True,success,
TKMTY,True,success,
TKOBF,True,success,
TKOMF,True,success,
TKPHF,True,success,
TKSHF,True,success,
TKSNF,True,success,
TKUGF,True,success,
TKUMF,True,success,
TKURF,True,success,
TLKMF,True,success,
TLSNF,True,success,
TMICF,True,success,
TMIUF,True,success,
TMRNF,True,success,
TMTMF,True,success,
TNABY,True,success,
TOAGF,True,success,
TODCF,True,success,
TOEAF,True,success,
TOETF,True,success,
TOIPF,True,success,
TOIPY,True,success,
TOKCF,True,success,
TOKSF,True,success,
TOKUY,True,success,
TOMYF,True,success,
TOMYY,True,success,
TONPF,True,success,
TOPPY,True,success,
TORLF,True,success,
TOSCF,True,success,
TOTTF,True,success,
TOWCF,True,success,
TQLCF,True,success,
TRPCF,True,success,
TRUMF,True,success,
TRYIF,True,success,
TSCFY,True,success,
TSGTF,True,success,
TSGTY,True,success,
TSHMF,True,success,
TSHTF,True,success,
TSHXY,True,success,
TSKMF,True,success,
TSMRF,True,success,
TSUKF,True,success,
TSUSF,True,success,
TTCAF,True,success,
TTRAF,True,success,
TVAHF,True,success,
TWAPF,True,success,
TYCMY,True,success,
TYHOF,True,success,
TYIDY,True,success,
TYOBY,True,success,
TYRRY,True,success,
UBEOF,True,success,
UHOIF,True,success,
ULVAF,True,success,
UNLRF,True,success,
UNLRY,True,success,
UNLYF,True,success,
USNNF,True,success,
USSJF,True,success,
UUICF,True,success,
UVRBF,True,success,
UVRBY,True,success,
VISIF,True,success,
VLVCY,True,success,
VLVOF,True,success,
VODAF,True,success,
VOLVF,True,success,
WACLF,True,success,
WACLY,True,success,
WACMF,True,success,
WACMY,True,success,
WARFF,True,success,
WARFY,True,success,
WBKCY,True,success,
WEBNF,True,success,
WEICF,True,success,
WFAFF,True,success,
WILLF,True,success,
WKISF,True,success,
WRFRF,True,success,
WUXIF,True,success,
XJNGF,True,success,
XNJJY,True,success,
XPNGF,True,success,
XZJCF,True,success,
YAGOY,True,success,
YAMHF,True,success,
YASKF,True,success,
YATRF,True,success,
YATRY,True,success,
YDWAF,True,success,
YGWAF,True,success,
YKLTF,True,success,
YLLWF,True,success,
YMATF,True,success,
YMTKF,True,success,
YMZBY,True,success,
YMZNF,True,success,
YNOYF,True,success,
YOKEF,True,success,
YOKEY,True,success,
YONXF,True,success,
YORUF,True,success,
YORUY,True,success,
YRCCF,True,success,
YSHLF,True,success,
YZOFF,True,success,
ZHAOF,True,success,
ZHUZY,True,success,
ZIJMF,True,success,
ZLIOF,True,success,
ZLIOY,True,success,
ZNKKY,True,success,
ZOJIF,True,success,
ZSHOF,True,success,
ZTCOF,True,success,
ZTOEF,True,success,
